PR Number,PR Title,PR URL,Labels
23795,Personal/joschung/api review updates 1,https://github.com/Azure/azure-rest-api-specs-pr/pull/23795,resource-manager+RPaaS+TypeSpec
23799,Add 2025-08-01-preview API,https://github.com/Azure/azure-rest-api-specs-pr/pull/23799,brownfield
23798,Add 2025-08-01-preview API,https://github.com/Azure/azure-rest-api-specs-pr/pull/23798,
23720,sync with main pr,https://github.com/Azure/azure-rest-api-specs-pr/pull/23720,resource-manager+RPaaS+TypeSpec
23704,Initial commit for draft of the update for updating order-line statuses to new values,https://github.com/Azure/azure-rest-api-specs-pr/pull/23704,resource-manager+TypeSpec
23076,Anujmaurya/valdiation rp changes,https://github.com/Azure/azure-rest-api-specs-pr/pull/23076,resource-manager+RPaaS+TypeSpec
23783,Merge branch main into RPSaaSDev,https://github.com/Azure/azure-rest-api-specs-pr/pull/23783,
23754,Storagemover 2025 api spec,https://github.com/Azure/azure-rest-api-specs-pr/pull/23754,resource-manager+RPaaS+TypeSpec
23775,Added expired status to the messagestatus object ,https://github.com/Azure/azure-rest-api-specs-pr/pull/23775,data-plane+TypeSpec
23537,Add ManagedOps resource to 2024-08-01 api,https://github.com/Azure/azure-rest-api-specs-pr/pull/23537,resource-manager+no-recent-activity+RPaaS+TypeSpec
