PR Number,PR Title,PR URL,Labels
23797,Release managedops microsoft.managed ops preview/2025 07 28 preview,https://github.com/Azure/azure-rest-api-specs-pr/pull/23797,
23148,Itayyeshaya/microsoft.security 2025 08 01 preview,https://github.com/Azure/azure-rest-api-specs-pr/pull/23148,ARMSignedOff+Approved-Avocado+Approved-LintDiff+ARMReview+resource-manager+new-api-version+brownfield
23794,OpenAI v1: initial mirror of generated OAS3 (Swagger) outputs ,https://github.com/Azure/azure-rest-api-specs-pr/pull/23794,data-plane
23077,Content Understanding 2025-09-15,https://github.com/Azure/azure-rest-api-specs-pr/pull/23077,data-plane+TypeSpec
23669,Add OrionDB management service API specifications and examples,https://github.com/Azure/azure-rest-api-specs-pr/pull/23669,ARMReview+resource-manager+new-api-version+PostgreSQL+new-rp-namespace+CI-NewRPNamespaceWithoutRPaaS+TypeSpec+NotReadyForARMReview
23390,Adding users and groups,https://github.com/Azure/azure-rest-api-specs-pr/pull/23390,ARMChangesRequested+ARMReview+resource-manager+new-api-version+TypeSpec
21398,Adding Typespec for Waves API,https://github.com/Azure/azure-rest-api-specs-pr/pull/21398,ARMSignedOff+ARMReview+resource-manager+new-api-version+TypeSpec+AzCoreIDC+PipelineBotTrigger
23790,Change Activation and Replace Key API changes,https://github.com/Azure/azure-rest-api-specs-pr/pull/23790,
23201,Converted OpenAPI specs to TypeSpec,https://github.com/Azure/azure-rest-api-specs-pr/pull/23201,no-recent-activity
23275,Data plane TypeSpec updates for Microsoft Planetary Computer for SDK generation,https://github.com/Azure/azure-rest-api-specs-pr/pull/23275,data-plane+RPaaS+TypeSpec
23267,Microsoft Planetary Computer Pro - AI Workflows,https://github.com/Azure/azure-rest-api-specs-pr/pull/23267,data-plane+RPaaS+SuppressionReviewRequired+TypeSpec
23777,Created Sample for Replace and Cancel Keys,https://github.com/Azure/azure-rest-api-specs-pr/pull/23777,resource-manager+TypeSpec
23788,Bump cross-env from 7.0.3 to 10.0.0 in /.github,https://github.com/Azure/azure-rest-api-specs-pr/pull/23788,dependencies+customer-reported+javascript
23787,Bump cross-env from 7.0.3 to 10.0.0 in /.github/shared,https://github.com/Azure/azure-rest-api-specs-pr/pull/23787,dependencies+customer-reported+javascript
23786,Bump the eslint group across 2 directories with 2 updates,https://github.com/Azure/azure-rest-api-specs-pr/pull/23786,dependencies+customer-reported+javascript
23692,"Add Put, Get, Delete and List APIs for Reader Endpoint",https://github.com/Azure/azure-rest-api-specs-pr/pull/23692,resource-manager+MySQL
23774,Added expired status to the  messagestatus object,https://github.com/Azure/azure-rest-api-specs-pr/pull/23774,
23578,Chaos Studio Easy Experience feature preview,https://github.com/Azure/azure-rest-api-specs-pr/pull/23578,ARMSignedOff+ARMReview+resource-manager+new-api-version+TypeSpec+BreakingChange-JavaScript-Sdk-Approved+BreakingChange-Python-Sdk-Approved+BreakingChange-Python-Sdk+BreakingChange-JavaScript-Sdk+PipelineBotTrigger
22499,Cabarker containerregistry microsoft.container registry 2025 09 01 preview,https://github.com/Azure/azure-rest-api-specs-pr/pull/22499,ARMChangesRequested+ARMReview+resource-manager+no-recent-activity+new-api-version+Container Registry+PipelineBotTrigger+brownfield
22626,Release monitor microsoft.monitor 2025-05-03-preview,https://github.com/Azure/azure-rest-api-specs-pr/pull/22626,ARMSignedOff+ARMReview+resource-manager+no-recent-activity+RPaaS+Monitor+SuppressionReviewRequired+new-api-version+Approved-Suppression+brownfield
22844,feat: add containerregistry 2025-09-01-preview,https://github.com/Azure/azure-rest-api-specs-pr/pull/22844,ARMSignedOff+ARMReview+resource-manager+no-recent-activity+new-api-version+Container Registry
23460,Azure AI Evaluation Unified API proposal,https://github.com/Azure/azure-rest-api-specs-pr/pull/23460,data-plane+no-recent-activity+TypeSpec
23462,Add PII labels,https://github.com/Azure/azure-rest-api-specs-pr/pull/23462,Cognitive Services+data-plane+no-recent-activity+brownfield
23498,microsoft.security api conflicts,https://github.com/Azure/azure-rest-api-specs-pr/pull/23498,ARMSignedOff+Approved-Avocado+Approved-LintDiff+ARMReview+resource-manager+no-recent-activity
23470,Add new data model for AFD's WAF's Exceptions (Allow List),https://github.com/Azure/azure-rest-api-specs-pr/pull/23470,WaitForARMFeedback+ARMReview+resource-manager+new-api-version+BreakingChange-Python-Sdk+PipelineBotTrigger+brownfield
