=== TSMV Error Report ===
Generated: 2026-02-09 15:08:05

## ApplicationGateway

| properties | error | The property names of definition "ExpressRouteCircuitAuthorization" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRouteCircuitAuthorization" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRouteCircuitAuthorization" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRouteCircuitConnection" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRouteCircuitConnection" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRouteCircuitConnection" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRouteCircuitPeering" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRouteCircuitPeering" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRouteCircuitPeering" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRoutePortAuthorization" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRoutePortAuthorization" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRoutePortAuthorization" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRouteProviderPort" changed: ["etag","id","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRouteProviderPort" changed: ["etag","id","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRouteProviderPort" changed: ["etag","id","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ExpressRouteProviderPort" changed: ["etag","id","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "PeerExpressRouteCircuitConnection" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "PeerExpressRouteCircuitConnection" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "PeerExpressRouteCircuitConnection" changed: ["etag","name","properties","type"] -> ["etag","properties"] |

## LoadBalancer

| properties | error | The property names of definition "BackendAddressPool" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "BackendAddressPool" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "BackendAddressPool" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "FrontendIPConfiguration" changed: ["etag","name","properties","type","zones"] -> ["etag","properties","zones"] |
| properties | error | The property names of definition "FrontendIPConfiguration" changed: ["etag","name","properties","type","zones"] -> ["etag","properties","zones"] |
