file,definition,property,jsonPath
specification/agricultureplatform/resource-manager/Microsoft.AgriculturePlatform/preview/2024-06-01-preview/openapi.json,ManagedOnBehalfOfConfiguration,moboBrokerResources,$.definitions.ManagedOnBehalfOfConfiguration.properties.moboBrokerResources
specification/agricultureplatform/resource-manager/Microsoft.AgriculturePlatform/preview/2024-06-01-preview/openapi.json,MoboBrokerResource,id,$.definitions.MoboBrokerResource.properties.id
specification/alertsmanagement/resource-manager/Microsoft.AlertsManagement/Legacy/preview/2025-03-01-preview/Issues.json,IssueProperties,investigations,$.definitions.IssueProperties.properties.investigations
specification/alertsmanagement/resource-manager/Microsoft.AlertsManagement/Legacy/preview/2025-03-01-preview/Issues.json,IssueProperties,investigationsCount,$.definitions.IssueProperties.properties.investigationsCount
specification/alertsmanagement/resource-manager/Microsoft.AlertsManagement/Legacy/preview/2025-03-01-preview/Issues.json,RelatedAlert,origin,$.definitions.RelatedAlert.properties.origin
specification/alertsmanagement/resource-manager/Microsoft.AlertsManagement/Legacy/preview/2025-03-01-preview/Issues.json,RelatedAlert,addedAt,$.definitions.RelatedAlert.properties.addedAt
specification/alertsmanagement/resource-manager/Microsoft.AlertsManagement/Legacy/preview/2025-03-01-preview/Issues.json,RelatedAlert,lastModifiedAt,$.definitions.RelatedAlert.properties.lastModifiedAt
specification/alertsmanagement/resource-manager/Microsoft.AlertsManagement/Legacy/preview/2025-03-01-preview/Issues.json,RelatedResource,origin,$.definitions.RelatedResource.properties.origin
specification/alertsmanagement/resource-manager/Microsoft.AlertsManagement/Legacy/preview/2025-03-01-preview/Issues.json,RelatedResource,addedAt,$.definitions.RelatedResource.properties.addedAt
specification/alertsmanagement/resource-manager/Microsoft.AlertsManagement/Legacy/preview/2025-03-01-preview/Issues.json,RelatedResource,lastModifiedAt,$.definitions.RelatedResource.properties.lastModifiedAt
specification/app/resource-manager/Microsoft.App/SreAgent/stable/2026-01-01/sreagent.json,AgentSpaceComplianceStatus,isCompliant,$.definitions.AgentSpaceComplianceStatus.properties.isCompliant
specification/azureresiliencemanagement/resource-manager/Microsoft.AzureResilienceManagement/AzureResilienceManagement/preview/2025-02-01-preview/openapi.json,ResourceProtectionSolutionSettings,isAutoFailover,$.definitions.ResourceProtectionSolutionSettings.properties.isAutoFailover
specification/azureresiliencemanagement/resource-manager/Microsoft.AzureResilienceManagement/AzureResilienceManagement/preview/2026-03-01-preview/openapi.json,ResourceProtectionSolutionSettings,isAutoFailover,$.definitions.ResourceProtectionSolutionSettings.properties.isAutoFailover
specification/azureresiliencemanagement/resource-manager/Microsoft.AzureResilienceManagement/AzureResilienceManagement/preview/2026-04-01-preview/openapi.json,ResourceProtectionSolutionSettings,isAutoFailover,$.definitions.ResourceProtectionSolutionSettings.properties.isAutoFailover
specification/azureresiliencemanagement/resource-manager/Microsoft.AzureResilienceManagement/AzureResilienceManagement/preview/2026-06-01-preview/openapi.json,ResourceProtectionSolutionSettings,isAutoFailover,$.definitions.ResourceProtectionSolutionSettings.properties.isAutoFailover
specification/azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCI/preview/2026-05-01-preview/hci.json,LifecycleDetails,lifecycleStages,$.definitions.LifecycleDetails.properties.lifecycleStages
specification/azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCI/preview/2026-05-01-preview/hci.json,LifecycleStage,name,$.definitions.LifecycleStage.properties.name
specification/azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCI/preview/2026-05-01-preview/hci.json,LifecycleStage,description,$.definitions.LifecycleStage.properties.description
specification/azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCI/preview/2026-05-01-preview/hci.json,LifecycleStage,status,$.definitions.LifecycleStage.properties.status
specification/azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCI/preview/2026-05-01-preview/hci.json,LifecycleStatus,status,$.definitions.LifecycleStatus.properties.status
specification/azurestackhci/resource-manager/Microsoft.AzureStackHCI/StackHCI/preview/2026-05-01-preview/hci.json,LifecycleStatus,lastUpdatedUtc,$.definitions.LifecycleStatus.properties.lastUpdatedUtc
specification/billingtrust/resource-manager/Microsoft.BillingTrust/BillingTrust/preview/2026-03-17-preview/openapi.json,RuleProperties,kind,$.definitions.RuleProperties.properties.kind
specification/cdn/resource-manager/Microsoft.Cdn/Cdn/preview/2024-07-22-preview/edgeaction.json,EdgeActionAttachment,id,$.definitions.EdgeActionAttachment.properties.id
specification/cdn/resource-manager/Microsoft.Cdn/Cdn/preview/2024-07-22-preview/edgeaction.json,EdgeActionExecutionFilterProperties,lastUpdateTime,$.definitions.EdgeActionExecutionFilterProperties.properties.lastUpdateTime
specification/cdn/resource-manager/Microsoft.Cdn/Cdn/preview/2024-07-22-preview/edgeaction.json,EdgeActionVersionProperties,validationStatus,$.definitions.EdgeActionVersionProperties.properties.validationStatus
specification/cdn/resource-manager/Microsoft.Cdn/Cdn/preview/2024-07-22-preview/edgeaction.json,EdgeActionVersionProperties,lastPackageUpdateTime,$.definitions.EdgeActionVersionProperties.properties.lastPackageUpdateTime
specification/cdn/resource-manager/Microsoft.Cdn/EdgeActions/preview/2025-09-01-preview/openapi.json,EdgeActionAttachment,id,$.definitions.EdgeActionAttachment.properties.id
specification/cdn/resource-manager/Microsoft.Cdn/EdgeActions/preview/2025-09-01-preview/openapi.json,EdgeActionExecutionFilterProperties,lastUpdateTime,$.definitions.EdgeActionExecutionFilterProperties.properties.lastUpdateTime
specification/cdn/resource-manager/Microsoft.Cdn/EdgeActions/preview/2025-09-01-preview/openapi.json,EdgeActionProperties,attachments,$.definitions.EdgeActionProperties.properties.attachments
specification/cdn/resource-manager/Microsoft.Cdn/EdgeActions/preview/2025-09-01-preview/openapi.json,EdgeActionVersionProperties,validationStatus,$.definitions.EdgeActionVersionProperties.properties.validationStatus
specification/cdn/resource-manager/Microsoft.Cdn/EdgeActions/preview/2025-09-01-preview/openapi.json,EdgeActionVersionProperties,lastPackageUpdateTime,$.definitions.EdgeActionVersionProperties.properties.lastPackageUpdateTime
