Project Root,TypeSpec Files,File Count,TS Emitter Output Dir,HasTSVError,HasJSSDK,JSSDKReleasedFrom,,,
specification\agricultureplatform\AgriculturePlatform.Management,main.tsp,1,{output-dir}/{service-dir}/arm-agricultureplatform,TRUE,TRUE,typespec,,,
specification\ai\Face,"routes.common.tsp
routes.persondirectory.tsp
routes.session.tsp",3,{output-dir}/{service-dir}/ai-vision-face-rest,TRUE,TRUE,typespec,,,
specification\apimanagement\resource-manager\Microsoft.ApiManagement\ApiManagement,ApiManagementServiceResource.tsp,1,{output-dir}/{service-dir}/arm-apimanagement,TRUE,TRUE,swagger,,,
specification\appconfiguration\data-plane\AppConfiguration,routes.tsp,1,{output-dir}/{service-dir}/azure-appconfiguration-rest,TRUE,FALSE,N/A,,,
specification\azurelargeinstance\resource-manager\Microsoft.AzureLargeInstance\AzureLargeInstance,"AzureLargeInstance.tsp
AzureLargeStorageInstance.tsp",2,❌ 未配置 TypeScript emitter,TRUE,FALSE,N/A,AzureLargeStorageInstance.tsp has error,,
specification\batch\data-plane\Batch,common.tsp,1,{output-dir}/{service-dir}/batch-rest,TRUE,TRUE,typespec,,,
specification\cloudhealth\CloudHealth.Management,main.tsp,1,{output-dir}/{service-dir}/arm-cloudhealth,TRUE,TRUE,typespec,,,
specification\cognitiveservices\data-plane\LanguageQuestionAnsweringAuthoring,"ops.tsp
routes.tsp",2,❌ 未配置 TypeScript emitter,TRUE,FALSE,N/A,,,
specification\communitytraining\Community.Management,main.tsp,1,❌ 未配置 TypeScript emitter,TRUE,FALSE,N/A,,,
specification\computeschedule\ComputeSchedule.Management,routes.tsp,1,{output-dir}/{service-dir}/arm-computeschedule,TRUE,TRUE,typespec,,,
specification\containerregistry\data-plane\Registry,routes.tsp,1,{output-dir}/{service-dir}/container-registry,TRUE,TRUE,swagger,,,
specification\containerservice\resource-manager\Microsoft.ContainerService\fleet,"fleet.tsp
fleetmember.tsp
gate.tsp
helpers.tsp",4,{output-dir}/{service-dir}/arm-containerservicefleet,TRUE,TRUE,typespec,gate.tsp has error,,
specification\containerstorage\resource-manager\Microsoft.ContainerStorage\ContainerStorage,"pool.tsp
volume.tsp",2,❌ 未配置 TypeScript emitter,TRUE,FALSE,N/A,,,
